Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
HMGB1P5	ENSG00000132967.9	48.569	43.579	0.153	4.28E-06
WASF3	ENSG00000132970.12	1.71	7.52	-1.653	2.28E-144
RNF17	ENSG00000132972.18	0.01	0	0.014	2.56E-01
GPR12	ENSG00000132975.7	0.01	0.02	-0.014	1.18E-05
MYH10	ENSG00000133026.12	15.88	65.981	-1.988	4.38E-129
PEMT	ENSG00000133027.17	21.55	30.11	-0.464	9.71E-18
SCO1	ENSG00000133028.10	13.19	11.91	0.136	1.46E-07
MPRIP	ENSG00000133030.19	68.478	126.789	-0.879	5.99E-56
MYBPH	ENSG00000133055.8	0.28	0.15	0.155	3.81E-17
PIK3C2B	ENSG00000133056.13	6.52	11.12	-0.689	6.29E-41
SLC41A1	ENSG00000133065.10	13.73	19.81	-0.498	1.54E-22
LGR6	ENSG00000133067.17	1.03	2.64	-0.842	4.36E-23
TMCC2	ENSG00000133069.14	1.23	3.27	-0.937	1.70E-68
SPG20	ENSG00000133104.12	18.29	39.579	-1.073	3.14E-106
RXFP2	ENSG00000133105.7	0	0.01	-0.014	5.91E-12
EPSTI1	ENSG00000133106.14	12.34	9.31	0.372	2.09E-06
TRPC4	ENSG00000133107.14	0.21	1.69	-1.153	8.40E-129
POSTN	ENSG00000133110.14	73.409	32.13	1.167	1.60E-30
RFXAP	ENSG00000133111.3	2.24	3.84	-0.579	5.76E-58
TPT1	ENSG00000133112.16	5092.293	4381.168	0.217	6.89E-07
GPALPP1	ENSG00000133114.17	8.93	9.26	-0.047	3.04E-01
STOML3	ENSG00000133115.11	0.18	0.36	-0.205	2.93E-06
KL	ENSG00000133116.7	0.45	3.16	-1.521	2.02E-128
RFC3	ENSG00000133119.12	6.24	4.3	0.45	8.81E-28
STARD13	ENSG00000133121.20	2.65	14.46	-2.083	1.92E-248
IRS4	ENSG00000133124.11	0	0.01	-0.014	3.80E-01
MORC4	ENSG00000133131.14	9.35	10.47	-0.148	1.51E-02
RNF128	ENSG00000133135.13	6.98	5.86	0.218	2.37E-01
TBC1D8B	ENSG00000133138.19	3.22	2.19	0.404	4.43E-33
TCEAL4	ENSG00000133142.17	73.18	149.789	-1.023	3.30E-83
FAM104A	ENSG00000133193.12	16.97	12.99	0.361	2.96E-41
SLC39A11	ENSG00000133195.11	32.05	9.6	1.641	1.71E-175
EPHB2	ENSG00000133216.16	5.91	1.72	1.345	9.74E-70
SRRM1	ENSG00000133226.16	39.36	70.492	-0.825	1.20E-56
PRAM1	ENSG00000133246.11	2.46	16.77	-2.361	2.96E-188
SUV420H2	ENSG00000133247.13	7.13	12.77	-0.76	4.60E-28
ZNF414	ENSG00000133250.13	12.66	17.67	-0.451	8.41E-22
PDE6B	ENSG00000133256.12	6.01	5.7	0.065	2.17E-02
HSPBP1	ENSG00000133265.10	29.339	24.91	0.228	3.96E-11
MACROD1	ENSG00000133315.10	20	16.939	0.227	1.05E-06
WDR74	ENSG00000133316.15	36.041	30.87	0.217	3.53E-12
LGALS12	ENSG00000133317.14	0.21	0.77	-0.549	5.54E-44
RTN3	ENSG00000133318.13	89.548	74.832	0.256	2.87E-14
RARRES3	ENSG00000133321.10	130.119	134.177	-0.044	3.21E-01
HRASLS2	ENSG00000133328.3	0.98	2.08	-0.637	2.95E-13
MYH11	ENSG00000133392.16	15.22	131.598	-3.031	1.18E-146
FOPNL	ENSG00000133393.12	22.23	16.17	0.436	2.83E-37
MED10	ENSG00000133398.3	30.541	28.01	0.121	9.23E-09
PDZD2	ENSG00000133401.15	2.73	12.46	-1.851	3.63E-108
MORC2	ENSG00000133422.12	24.08	16.65	0.507	2.84E-39
LARGE	ENSG00000133424.20	6.27	7.76	-0.269	5.08E-03
GSTT2B	ENSG00000133433.10	5.51	14.24	-1.227	1.03E-35
SLC2A11	ENSG00000133460.19	10.4	8.14	0.319	5.13E-15
GGT2	ENSG00000133475.16	0.52	0.89	-0.314	7.55E-06
FAM83F	ENSG00000133477.16	0.87	0.15	0.701	7.15E-45
SEC14L4	ENSG00000133488.14	1.13	2.8	-0.835	6.12E-28
ZDHHC8P1	ENSG00000133519.12	0.79	0.65	0.117	3.81E-06
GIMAP6	ENSG00000133561.15	7.09	26.53	-1.767	6.13E-130
GIMAP4	ENSG00000133574.9	18.47	54.078	-1.5	1.51E-104
MKRN1	ENSG00000133606.10	62.461	54.311	0.198	2.62E-13
KRBA1	ENSG00000133619.17	3.31	5.65	-0.626	1.34E-40
ZNF767P	ENSG00000133624.13	4.34	14.75	-1.56	5.46E-93
NTS	ENSG00000133636.10	0.29	0.54	-0.256	3.92E-02
LRRIQ1	ENSG00000133640.18	0.65	0.73	-0.068	2.26E-05
SFTPD	ENSG00000133661.15	87.79	333.79	-1.915	8.53E-16
TMEM254	ENSG00000133678.13	23.03	12.02	0.884	3.92E-86
TMTC1	ENSG00000133687.15	1.26	8.42	-2.059	5.63E-124
KRAS	ENSG00000133703.11	14.71	11.16	0.37	1.82E-16
IPO8	ENSG00000133704.9	13.43	14.95	-0.145	3.01E-02
SPINK5	ENSG00000133710.15	2.05	1.56	0.253	1.07E-10
IMPA1	ENSG00000133731.9	10.7	10.91	-0.026	1.26E-01
LRRCC1	ENSG00000133739.15	6.52	4.38	0.483	1.59E-28
SWAP70	ENSG00000133789.14	21.159	26.99	-0.337	5.18E-18
LYVE1	ENSG00000133800.8	2.29	40.12	-3.644	5.69E-252
MICALCL	ENSG00000133808.4	2.25	2.67	-0.175	4.41E-02
SBF2	ENSG00000133812.14	7.34	18.79	-1.247	2.08E-91
MICAL2	ENSG00000133816.13	25.181	27.11	-0.103	1.07E-01
RRAS2	ENSG00000133818.12	23.9	26.729	-0.155	4.56E-01
HSD17B4	ENSG00000133835.14	95.319	173.596	-0.858	1.72E-51
ZFC3H1	ENSG00000133858.15	10.52	36.249	-1.693	9.14E-101
TEX15	ENSG00000133863.6	0	0.01	-0.014	3.07E-09
SARAF	ENSG00000133872.13	159.332	188.666	-0.242	5.20E-08
RNF122	ENSG00000133874.1	5.76	18.85	-1.554	6.66E-132
GSC	ENSG00000133937.4	0.07	0.06	0.014	3.38E-09
UNC79	ENSG00000133958.13	0.02	0.05	-0.042	1.89E-01
NUMB	ENSG00000133961.19	36.811	66.449	-0.835	1.26E-89
TTC9	ENSG00000133985.2	7.01	3.19	0.935	1.62E-53
MED6	ENSG00000133997.11	20.549	18.12	0.173	7.13E-12
LOXL2	ENSG00000134013.15	13.37	7.06	0.834	2.92E-24
PEBP4	ENSG00000134020.7	9.87	89.809	-3.062	8.20E-72
MBD2	ENSG00000134046.11	54.138	73.602	-0.436	6.29E-23
IER3IP1	ENSG00000134049.4	19.53	13.51	0.501	1.64E-46
MRPS36	ENSG00000134056.11	34.681	27.35	0.332	4.32E-25
IRAK2	ENSG00000134070.4	3.92	5.46	-0.393	1.86E-14
THUMPD3	ENSG00000134077.15	25.291	18.29	0.447	3.88E-51
VHL	ENSG00000134086.7	15.22	15.99	-0.067	1.18E-01
MEIS2	ENSG00000134138.19	5.08	12.26	-1.125	5.55E-80
KATNBL1	ENSG00000134152.10	14.92	25.12	-0.714	8.13E-35
TRPM1	ENSG00000134160.13	0	0.02	-0.029	2.07E-06
GNAT2	ENSG00000134183.11	0.08	0.02	0.082	6.80E-08
GSTM1	ENSG00000134184.12	1.48	1.32	0.096	2.45E-01
PRPF38B	ENSG00000134186.11	18.92	40.14	-1.046	7.59E-84
REG4	ENSG00000134193.14	0.06	0	0.084	2.34E-06
TSPAN2	ENSG00000134198.9	2.29	3.92	-0.581	3.91E-23
GSTM5	ENSG00000134201.10	1.87	15.31	-2.507	2.97E-198
GSTM3	ENSG00000134202.10	29.27	38.63	-0.389	4.75E-05
SYT6	ENSG00000134207.14	0.04	0.02	0.028	2.09E-04
VAV3	ENSG00000134215.15	1.99	3.75	-0.668	1.10E-10
PSRC1	ENSG00000134222.16	4.65	5.84	-0.276	1.31E-03
PTPN22	ENSG00000134242.15	3.07	5.25	-0.619	6.39E-31
SORT1	ENSG00000134243.11	21.651	40.299	-0.867	1.32E-59
WNT2B	ENSG00000134245.17	0.61	5.47	-2.007	7.97E-220
PTGFRN	ENSG00000134247.9	28.789	12.11	1.184	4.48E-75
LAMTOR5	ENSG00000134248.13	165.627	132.329	0.322	1.77E-22
NOTCH2	ENSG00000134250.17	16.999	21.88	-0.346	1.81E-12
TRIM45	ENSG00000134253.9	2.11	1.98	0.062	9.13E-02
VTCN1	ENSG00000134258.16	1.18	0.08	1.013	1.20E-49
NAPG	ENSG00000134265.12	13.62	13	0.063	2.04E-03
SPIRE1	ENSG00000134278.14	10.97	13.38	-0.265	2.15E-05
PPHLN1	ENSG00000134283.17	33.739	27.219	0.3	4.04E-28
FKBP11	ENSG00000134285.10	67.009	40.649	0.707	1.37E-38
TMEM106C	ENSG00000134291.11	66.791	45.66	0.539	7.61E-28
SLC38A2	ENSG00000134294.13	43.519	126.552	-1.519	1.90E-97
PLEKHA8P1	ENSG00000134297.6	4.97	5.13	-0.038	1.17E-02
YWHAQ	ENSG00000134308.13	178.786	134.158	0.412	3.60E-28
KIDINS220	ENSG00000134313.14	16.549	23.489	-0.481	3.84E-31
GRHL1	ENSG00000134317.17	6.62	3.17	0.87	1.05E-23
ROCK2	ENSG00000134318.13	9.19	18.32	-0.923	7.69E-72
RSAD2	ENSG00000134321.11	5.94	5.35	0.128	4.20E-01
MYCN	ENSG00000134323.10	0.33	0.14	0.222	2.45E-16
LPIN1	ENSG00000134324.11	9.09	21.55	-1.16	1.87E-65
IAH1	ENSG00000134330.18	48.462	40.559	0.251	1.42E-16
LDHA	ENSG00000134333.13	674.979	296.789	1.183	1.85E-80
IL6ST	ENSG00000134352.19	28.08	56.172	-0.975	1.38E-68
FST	ENSG00000134363.11	1.65	6.79	-1.556	7.72E-28
NAV1	ENSG00000134369.15	6.39	9.57	-0.516	6.49E-19
TIMM17A	ENSG00000134375.10	44.879	27.92	0.666	1.03E-58
ERN2	ENSG00000134398.12	1.81	0.46	0.945	7.94E-23
RPS15A	ENSG00000134419.15	1691.748	1413.248	0.259	3.22E-16
NARS	ENSG00000134440.11	58.5	60.358	-0.044	3.85E-01
GRP	ENSG00000134443.9	0.9	1.64	-0.475	3.44E-03
KIAA1468	ENSG00000134444.13	9.36	16.7	-0.773	6.61E-49
FBXO18	ENSG00000134452.19	31.84	52.081	-0.693	6.41E-50
RBM17	ENSG00000134453.15	57.46	121.557	-1.068	6.19E-71
IL2RA	ENSG00000134460.15	2.98	1.6	0.614	3.42E-19
IL15RA	ENSG00000134470.19	16.979	49.029	-1.476	7.47E-102
HRH4	ENSG00000134489.6	0.04	0.07	-0.041	7.03E-10
TMEM241	ENSG00000134490.13	8.93	4.81	0.773	1.04E-67
KCTD1	ENSG00000134504.12	8.1	4.86	0.635	6.66E-31
SOX5	ENSG00000134532.15	0.34	1.7	-1.011	3.18E-131
RERG	ENSG00000134533.6	4.54	13.88	-1.425	6.39E-85
KLRD1	ENSG00000134539.16	1.61	4.03	-0.946	1.32E-49
KLRC1	ENSG00000134545.13	0.59	1.38	-0.582	7.67E-22
SPX	ENSG00000134548.9	0.17	0.89	-0.692	4.04E-07
PRH2	ENSG00000134551.12	0.08	0	0.111	9.21E-02
LRP4	ENSG00000134569.9	2.11	5.25	-1.007	1.99E-25
MYBPC3	ENSG00000134571.10	0.05	0.83	-0.801	1.27E-131
FAM127A	ENSG00000134590.13	79.132	132.228	-0.733	2.50E-48
RAB33A	ENSG00000134594.4	0.97	1.3	-0.223	1.66E-14
RBMX2	ENSG00000134597.13	18.52	14.68	0.316	5.19E-27
STK26	ENSG00000134602.15	10.2	4.81	0.947	4.55E-67
FOLH1B	ENSG00000134612.11	0.02	0	0.029	6.72E-04
PIWIL4	ENSG00000134627.11	0.96	3.04	-1.043	2.18E-80
PUM1	ENSG00000134644.15	27.02	25.329	0.09	4.08E-02
SPOCD1	ENSG00000134668.12	2.7	9.66	-1.527	2.09E-67
YARS	ENSG00000134684.10	56.059	60.078	-0.098	5.23E-02
PHC2	ENSG00000134686.16	78.14	127.981	-0.705	2.06E-39
GNL2	ENSG00000134697.12	40.799	32.76	0.308	2.51E-15
HOOK1	ENSG00000134709.10	8.12	3.32	1.078	6.11E-89
ZCCHC11	ENSG00000134744.13	18.01	32.15	-0.802	7.14E-51
PRPF38A	ENSG00000134748.12	20.5	17.349	0.229	8.50E-17
RNF138	ENSG00000134758.13	11.84	10.62	0.144	9.37E-06
FHOD3	ENSG00000134775.15	1.6	1.16	0.267	4.39E-08
TPGS2	ENSG00000134779.14	52.629	46.131	0.186	9.07E-10
SLC43A3	ENSG00000134802.17	58.411	60.719	-0.055	3.02E-02
TIMM10	ENSG00000134809.8	49.752	28.47	0.784	7.05E-78
FADS2	ENSG00000134824.13	33.33	29.889	0.152	5.19E-02
TMEM258	ENSG00000134825.13	232.566	147.707	0.651	7.17E-81
TCN1	ENSG00000134827.7	1.02	0.64	0.301	2.75E-17
TMEM165	ENSG00000134851.12	84.858	100.287	-0.238	2.64E-05
PDGFRA	ENSG00000134853.11	8.22	46.291	-2.359	2.78E-135
GGACT	ENSG00000134864.10	3.67	2.26	0.519	2.00E-44
UBAC2	ENSG00000134882.15	55.398	41.92	0.394	1.62E-40
ERCC5	ENSG00000134899.17	26.21	44.55	-0.743	7.51E-57
TPP2	ENSG00000134900.11	17.881	29.311	-0.683	1.86E-45
KDELC1	ENSG00000134901.12	2.8	3.64	-0.288	2.23E-05
STT3A	ENSG00000134910.12	113.858	61.832	0.87	6.24E-75
ETS1	ENSG00000134954.14	24.55	64.288	-1.354	1.47E-92
SLC37A2	ENSG00000134955.11	5.32	7.69	-0.459	2.90E-14
KLB	ENSG00000134962.6	0.15	0.25	-0.12	3.71E-02
TMED7	ENSG00000134970.13	35.611	28.989	0.288	2.51E-16
NREP	ENSG00000134986.13	31.321	13.75	1.132	1.70E-56
WDR36	ENSG00000134987.11	6.09	5.65	0.092	2.02E-03
OSTF1	ENSG00000134996.11	39.401	61.031	-0.619	1.26E-57
RFK	ENSG00000135002.11	15.72	8.85	0.763	9.81E-59
UBQLN1	ENSG00000135018.13	39.631	42.78	-0.108	9.79E-03
NAA35	ENSG00000135040.15	8.33	7.85	0.076	1.06E-04
TMEM2	ENSG00000135048.13	34.709	88.327	-1.323	8.36E-95
GOLM1	ENSG00000135052.16	105.939	12.41	2.995	7.22E-241
FAM189A2	ENSG00000135063.17	4.9	32.079	-2.487	4.97E-143
PSAT1	ENSG00000135069.13	12.37	2.1	2.109	2.72E-63
ISCA1	ENSG00000135070.13	19.54	20.081	-0.038	3.41E-01
HAVCR2	ENSG00000135077.8	9.4	15.23	-0.642	6.02E-31
TAOK3	ENSG00000135090.13	15.11	22.49	-0.544	2.64E-38
USP30	ENSG00000135093.12	6.05	7.67	-0.298	6.05E-19
SDS	ENSG00000135094.10	5.58	3.89	0.428	3.44E-04
MSI1	ENSG00000135097.6	0.33	0.45	-0.125	3.03E-09
HNF1A	ENSG00000135100.17	0.22	0.03	0.244	2.87E-34
FBXO21	ENSG00000135108.14	15.8	16.511	-0.06	1.34E-01
TBX3	ENSG00000135111.14	2.23	36.161	-3.524	2.06E-262
OASL	ENSG00000135114.12	5.55	6.93	-0.276	7.25E-06
HRK	ENSG00000135116.9	0.08	0.07	0.013	3.24E-03
RNFT2	ENSG00000135119.14	2.31	0.92	0.786	1.33E-57
P2RX4	ENSG00000135124.14	34.939	30.9	0.172	2.40E-08
TRAFD1	ENSG00000135148.11	26.77	27.08	-0.016	7.99E-02
TMEM243	ENSG00000135185.11	31.421	59.842	-0.908	5.52E-43
TMEM60	ENSG00000135211.5	21.739	16.19	0.404	3.06E-48
PNPLA8	ENSG00000135241.16	15.05	14.35	0.064	4.95E-02
RINT1	ENSG00000135249.7	10.87	12.47	-0.182	1.23E-02
SRPK2	ENSG00000135250.16	18.13	15.94	0.175	4.97E-06
KCP	ENSG00000135253.13	0.47	0.77	-0.268	1.13E-01
TES	ENSG00000135269.17	48.988	39.04	0.32	1.27E-14
MDFIC	ENSG00000135272.9	15.89	12.21	0.355	2.08E-07
MTO1	ENSG00000135297.15	10.06	13.31	-0.372	1.04E-22
HTR1B	ENSG00000135312.5	0.07	0.29	-0.27	6.84E-13
KHDC1	ENSG00000135314.12	2.17	1.58	0.297	9.35E-21
SYNCRIP	ENSG00000135316.17	39.341	32.5	0.268	5.14E-14
SNX14	ENSG00000135317.12	42.57	52.548	-0.298	2.49E-09
NT5E	ENSG00000135318.11	15.65	4.91	1.494	1.88E-56
MRAP2	ENSG00000135324.5	0.23	0.61	-0.388	3.43E-07
EPHA7	ENSG00000135333.13	0.07	0.16	-0.117	7.85E-02
ORC3	ENSG00000135336.14	11	11.18	-0.021	5.02E-04
LCA5	ENSG00000135338.13	1.92	2.31	-0.181	6.84E-05
MAP3K7	ENSG00000135341.17	10.69	14.55	-0.412	1.76E-21
PRR5L	ENSG00000135362.13	7.21	11.72	-0.632	9.01E-22
LMO2	ENSG00000135363.11	7.87	36.359	-2.075	1.14E-197
PHF21A	ENSG00000135365.15	13.14	27.59	-1.016	8.27E-87
NAT10	ENSG00000135372.8	20.82	16.34	0.332	1.76E-17
PRRG4	ENSG00000135378.3	7.64	4.2	0.733	2.79E-36
PRPH	ENSG00000135406.13	0.18	1	-0.761	4.33E-57
GDF11	ENSG00000135414.9	2.6	2.97	-0.141	3.25E-01
GLS2	ENSG00000135423.12	2.81	1.74	0.476	2.08E-24
ITGA7	ENSG00000135424.15	3.73	28.06	-2.619	3.01E-143
TESPA1	ENSG00000135426.14	1.84	2.99	-0.49	1.90E-22
FAM186B	ENSG00000135436.8	0.31	0.25	0.068	9.78E-08
RDH5	ENSG00000135437.9	2.2	7.35	-1.384	2.37E-62
KRT85	ENSG00000135443.8	0	0.03	-0.043	8.33E-15
PPP1R1A	ENSG00000135447.16	0.38	0.9	-0.461	7.82E-08
TROAP	ENSG00000135451.12	10.23	1.59	2.116	6.31E-93
TSPAN31	ENSG00000135452.9	44.16	41.489	0.088	3.79E-03
TFCP2	ENSG00000135457.9	15.02	12.39	0.259	1.81E-22
FAIM2	ENSG00000135472.8	1.01	1.52	-0.326	3.23E-01
PAN2	ENSG00000135473.14	15.63	59.56	-1.865	8.87E-91
ESPL1	ENSG00000135476.11	2.35	0.87	0.841	1.52E-44
KRT7	ENSG00000135480.14	476.29	411.913	0.209	5.33E-02
HNRNPA1	ENSG00000135486.17	782.094	658.161	0.249	1.84E-14
SLC26A10	ENSG00000135502.16	0.52	5.8	-2.161	5.21E-144
OS9	ENSG00000135506.15	208.672	204.392	0.03	5.29E-02
MIP	ENSG00000135517.6	0.04	0.02	0.028	2.28E-06
KCNH3	ENSG00000135519.6	0.23	0.72	-0.484	9.89E-23
LTV1	ENSG00000135521.8	15.94	18.621	-0.212	1.05E-04
MAP7	ENSG00000135525.18	13	5.19	1.177	5.69E-87
LACE1	ENSG00000135537.16	2.08	1.73	0.174	6.74E-13
NHSL1	ENSG00000135540.11	3.72	7.48	-0.845	1.30E-45
HEY2	ENSG00000135547.8	0.77	2.3	-0.899	6.71E-81
PKIB	ENSG00000135549.14	9.24	1.99	1.776	1.20E-74
NMBR	ENSG00000135577.4	0.01	0.04	-0.042	4.49E-11
SMPD2	ENSG00000135587.8	10.07	10.99	-0.115	3.59E-03
MICAL1	ENSG00000135596.17	15.009	76.728	-2.28	2.31E-146
REPS1	ENSG00000135597.18	20.081	25.2	-0.314	4.24E-18
STX11	ENSG00000135604.9	3.72	22.579	-2.321	6.09E-214
TEC	ENSG00000135605.12	2.13	3.22	-0.431	2.31E-36
PRADC1	ENSG00000135617.3	16.05	14.91	0.1	3.21E-11
SEMA4F	ENSG00000135622.12	4.74	3.35	0.4	3.52E-25
RAB11FIP5	ENSG00000135631.15	15.519	18.78	-0.26	3.44E-10
SMYD5	ENSG00000135632.11	18.14	12	0.558	9.36E-49
KCNMB4	ENSG00000135643.4	2.43	5.97	-1.023	3.49E-18
USP15	ENSG00000135655.13	25.49	63.232	-1.278	6.93E-116
GNS	ENSG00000135677.10	64.56	61.341	0.073	1.23E-03
KLHL36	ENSG00000135686.12	12.63	19.7	-0.603	2.59E-43
MPHOSPH6	ENSG00000135698.9	17.03	22.25	-0.367	1.25E-12
KIAA0513	ENSG00000135709.12	4.76	7.96	-0.637	3.91E-43
FBXL8	ENSG00000135722.8	7.66	14.81	-0.868	1.20E-20
FHOD1	ENSG00000135723.13	27.729	98.257	-1.789	2.30E-94
SLC9A5	ENSG00000135740.16	1.06	2.88	-0.913	2.64E-39
ZNF670	ENSG00000135747.11	0.05	0.02	0.042	4.22E-32
PCNXL2	ENSG00000135749.18	5.22	4.26	0.242	3.74E-06
KCNK1	ENSG00000135750.14	21.13	4.8	1.932	2.80E-91
URB2	ENSG00000135763.9	4.01	2.12	0.683	2.61E-46
NTPCR	ENSG00000135778.11	47.29	29.691	0.654	5.76E-46
TAF5L	ENSG00000135801.9	13.8	11.79	0.211	4.66E-13
GLUL	ENSG00000135821.16	449.724	784.7	-0.802	9.01E-43
STX6	ENSG00000135823.13	17.5	12.64	0.44	5.53E-34
RGS8	ENSG00000135824.12	0.02	0.03	-0.014	1.85E-01
RNASEL	ENSG00000135828.11	5.23	5.47	-0.055	3.31E-01
KIAA1614	ENSG00000135835.10	0.95	3.63	-1.248	1.33E-111
NPL	ENSG00000135838.13	14.84	19.99	-0.406	4.24E-09
FAM129A	ENSG00000135842.16	10.3	14.07	-0.415	4.91E-11
PIGC	ENSG00000135845.9	32.039	20.069	0.649	1.97E-89
LAMC1	ENSG00000135862.5	46.659	68.759	-0.55	1.39E-16
RC3H1	ENSG00000135870.11	3.48	6.13	-0.67	3.73E-82
SP110	ENSG00000135899.16	21.259	23.34	-0.129	1.15E-04
MRPL44	ENSG00000135900.3	21.07	13.32	0.624	6.69E-90
TTLL4	ENSG00000135912.10	19.08	26.42	-0.449	4.85E-11
HTR2B	ENSG00000135914.5	0.7	0.42	0.26	1.78E-14
ITM2C	ENSG00000135916.15	85.918	42.561	0.997	1.06E-54
SLC19A3	ENSG00000135917.13	0.79	7.6	-2.264	1.10E-175
SERPINE2	ENSG00000135919.12	11.39	9.69	0.213	4.08E-02
WNT10A	ENSG00000135925.8	1.49	0.42	0.81	1.13E-44
TMBIM1	ENSG00000135926.12	122.981	199.285	-0.692	6.69E-42
REV1	ENSG00000135945.9	15.87	34.391	-1.069	1.92E-83
TSGA10	ENSG00000135951.14	3.65	3.16	0.161	2.44E-05
MFSD9	ENSG00000135953.10	7.83	3.57	0.95	2.57E-105
TMEM127	ENSG00000135956.8	32.231	29.871	0.106	3.73E-03
GCC2	ENSG00000135968.19	11.25	14.33	-0.324	1.25E-11
MRPS9	ENSG00000135972.8	19.191	16.75	0.186	6.04E-23
GPR45	ENSG00000135973.2	0	0.04	-0.057	4.68E-14
EPC2	ENSG00000135999.11	11.47	12.01	-0.061	3.92E-03
ISCU	ENSG00000136003.15	92.289	152.386	-0.717	4.89E-70
STAB2	ENSG00000136011.14	0.2	0.57	-0.388	3.15E-42
USP44	ENSG00000136014.11	1.4	2.47	-0.532	4.49E-13
SCYL2	ENSG00000136021.17	15.88	16.45	-0.048	7.16E-03
PLXNC1	ENSG00000136040.8	5.98	8.91	-0.506	3.75E-22
PWP1	ENSG00000136045.11	25.109	21.739	0.199	1.33E-19
KIAA1033	ENSG00000136051.13	11.85	18.439	-0.597	2.11E-48
SLC41A2	ENSG00000136052.9	11.95	4.4	1.262	5.21E-90
VILL	ENSG00000136059.14	5.1	8.79	-0.682	1.06E-07
FLNB	ENSG00000136068.14	77.751	64.408	0.268	1.31E-10
NEK3	ENSG00000136098.16	6.25	16.28	-1.253	1.34E-94
VPS36	ENSG00000136100.12	12.88	23.47	-0.818	1.83E-83
RNASEH2B	ENSG00000136104.18	26.75	25.1	0.088	1.73E-06
LECT1	ENSG00000136110.12	0.03	0.04	-0.014	1.46E-08
TBC1D4	ENSG00000136111.12	4.57	8.9	-0.83	3.30E-59
THSD1	ENSG00000136114.15	1.52	10.58	-2.2	2.32E-233
LRCH1	ENSG00000136141.14	4.85	13.22	-1.281	1.18E-142
SUCLA2	ENSG00000136143.13	16.13	17.9	-0.142	4.00E-03
RCBTB1	ENSG00000136144.11	8.03	11.62	-0.483	9.33E-29
MED4	ENSG00000136146.14	34.98	38.401	-0.131	1.95E-01
PHF11	ENSG00000136147.16	26.99	52.341	-0.93	1.87E-98
RPL13AP25	ENSG00000136149.6	0.78	0.51	0.237	5.40E-19
LMO7	ENSG00000136153.19	97.903	172.912	-0.814	3.12E-30
SCEL	ENSG00000136155.16	14.46	42.721	-1.5	4.33E-45
ITM2B	ENSG00000136156.12	674.324	842.48	-0.321	3.26E-08
SPRY2	ENSG00000136158.10	15.87	30.849	-0.917	2.65E-54
NUDT15	ENSG00000136159.3	11.05	8.69	0.314	1.32E-29
RCBTB2	ENSG00000136161.12	4.34	9.29	-0.946	3.81E-93
LCP1	ENSG00000136167.13	55.119	88.248	-0.669	1.40E-24
SETDB2	ENSG00000136169.16	3.36	5.21	-0.51	2.08E-45
SCRN1	ENSG00000136193.16	22.88	13.18	0.752	6.81E-29
TNS3	ENSG00000136205.16	24.64	42.039	-0.747	1.17E-49
SPDYE1	ENSG00000136206.3	0.19	0.24	-0.059	8.53E-02
IGF2BP3	ENSG00000136231.13	3.83	0.65	1.55	1.39E-57
GPNMB	ENSG00000136235.15	101.391	92.481	0.131	1.14E-01
RAPGEF5	ENSG00000136237.18	9.94	32.11	-1.598	1.67E-116
RAC1	ENSG00000136238.17	265.247	187.272	0.5	1.75E-44
KDELR2	ENSG00000136240.9	150.768	80.94	0.889	1.89E-88
NUPL2	ENSG00000136243.16	24.02	19.09	0.317	9.91E-29
IL6	ENSG00000136244.11	5.34	24.71	-2.02	3.80E-55
ZDHHC4	ENSG00000136247.14	58.31	40.599	0.512	1.17E-60
TBRG4	ENSG00000136270.13	36.39	32.479	0.159	2.24E-12
HUS1	ENSG00000136273.11	11.01	10.02	0.124	2.89E-06
NACAD	ENSG00000136274.8	0.73	2.63	-1.069	1.24E-73
MYO1G	ENSG00000136286.14	9.49	22.23	-1.147	6.05E-32
TTYH3	ENSG00000136295.14	38.601	26.79	0.511	5.65E-18
RP11-84C10.2	ENSG00000136315.4	0	0.29	-0.367	1.26E-38
TTC5	ENSG00000136319.11	6.73	5.37	0.279	7.86E-23
NKX2-8	ENSG00000136327.6	0.71	0.35	0.341	1.62E-11
NKX2-1	ENSG00000136352.17	77.6	65.83	0.234	4.62E-01
ZFHX2	ENSG00000136367.13	0.77	0.51	0.229	7.96E-08
MTHFS	ENSG00000136371.9	34.341	29.431	0.216	8.63E-10
IREB2	ENSG00000136381.12	10.1	12.33	-0.264	1.23E-12
TM6SF1	ENSG00000136404.15	3.8	11.13	-1.337	1.27E-106
RSAD1	ENSG00000136444.9	17.65	32.271	-0.835	7.67E-62
NMT1	ENSG00000136448.11	38.671	44.851	-0.209	6.37E-09
MYCBPAP	ENSG00000136449.13	0.56	1.24	-0.522	2.81E-19
SRSF1	ENSG00000136450.12	89.318	98.039	-0.133	4.86E-04
VEZF1	ENSG00000136451.8	25.55	28.23	-0.139	5.56E-05
TACO1	ENSG00000136463.7	19.04	11.25	0.71	4.28E-101
TEX2	ENSG00000136478.7	11.23	16.86	-0.546	5.08E-39
LIMD2	ENSG00000136490.8	28.349	30.08	-0.083	1.47E-01
KAT7	ENSG00000136504.11	18.53	17.9	0.047	1.17E-01
RTP4	ENSG00000136514.2	4.94	3.62	0.363	4.34E-07
NDUFB5	ENSG00000136521.12	83.279	52.008	0.669	1.91E-63
MRPL47	ENSG00000136522.13	35.15	22.99	0.592	1.27E-68
